T819489 四甲基氯化铵 AR,四甲基氯化铵 ;氯化四甲基铵 ,75-57-0,C<sub>4</sub>H<sub>12</sub>NCl , Tetramethylammonium chloride,AR | AR | AR,29.00 | 71.00 | 318.00,29.00 | 71.00 | 318.00,现货 | 现货 | 现货, T819489-25g |  T819489-100g |  T819489-500g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>&gt;300 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>1.17 g/cm3</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温干燥</td>                </tr></table>
T819490 四甲基溴化铵 AR,四甲基溴化铵 ;溴化四甲基铵四甲替溴化铵 ,64-20-0,C<sub>4</sub>H<sub>12</sub>NBr , Tetramethylammonium bromide,AR | AR | AR,59.00 | 128.00 | 386.00,59.00 | 128.00 | 386.00,现货 | 预计交期：5~7个工作日 | 现货, T819490-25g |  T819490-100g |  T819490-500g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>&gt;300 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">沸点:</th>                    <td>&gt;360°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>1.56 g/cm3</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温干燥</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">颜色:</th>                    <td>固体</td>                </tr></table>
P815381 氯亚铂酸钾 AR   98%,氯亚铂酸钾 ;四氯铂酸钾 ,10025-99-7,K<sub>2</sub>PtCl<sub>4</sub> , Potasium tetrachloroplatinate (I),AR   98% | AR   98%,635.00 | 2527.50,635.00 | 2527.50,现货 | 现货, P815381-1g |  P815381-5g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>250°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>3.38 g/mL at 25 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温干燥密封</td>                </tr></table>
D807480 第威德合金 AR,第威德合金 ;定氮合金戴氏合金节瓦尔德合金德瓦达合金 ,8049-11-4,AlCuZn , Devarda’s alloy,AR | AR | AR,38.00 | 68.00 | 246.00,38.00 | 68.00 | 246.00,现货 | 现货 | 现货, D807480-100g |  D807480-250g |  D807480-1kg,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>550 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温易燃物区域</td>                </tr></table>
P815792 钯粉 AR99.5%,钯粉 ;钯海绵钯 ,7440-05-3,Pd , Palladium,AR99.5% | AR99.5%,596.00 | 2990.00,596.00 | 2990.00,预计交期：5~7个工作日 | 预计交期：5~7个工作日, P815792-1g |  P815792-5g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>1554 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">沸点:</th>                    <td>2970 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>1.025 g/mL at 25 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
B806387 (11'-双(二苯基膦)二茂铁)二氯化镍 97%,(11'-双(二苯基膦)二茂铁)二氯化镍 ,67292-34-6,C<sub>34</sub>H<sub>28</sub>Cl<sub>2</sub>FeNiP<sub>2</sub> , [11'-Bis(diphenylphosphino)ferrocene]dichloronickel(II),97% | 97% | 97%,99.00 | 228.00 | 819.00,99.00 | 228.00 | 819.00,现货 | 现货 | 预计交期：5~7个工作日, B806387-1g |  B806387-5g |  B806387-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>285 °C (dec.)(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">颜色:</th>                    <td>绿色 粉末</td>                </tr></table>
H822807 (13-双(246-三甲基苯基)-2-咪唑烷亚基)二氯(邻异丙氧基苯亚甲基)合钌 97%,HOVEYDA-GRUBBS 催化剂 ,301224-40-8,C<sub>31</sub>H<sub>38</sub>Cl<sub>2</sub>N<sub>2</sub>ORu , Hoveyda-Grubbs Catalyst 2nd Generation,97%,1598.00,1598.00,现货, H822807-500mg,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>216-220 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>2~8 ℃</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">颜色:</th>                    <td>固体</td>                </tr></table>
C823807 (15-环辛二烯)(嘧啶)(三环己基膦)铱(I)六氟磷酸盐 98%, ,64536-78-3,C<sub>31</sub>H<sub>50</sub>F<sub>6</sub>IrNP<sub>2</sub> , (15-Cyclooctadiene)(pyridine)(tricyclohexylphosphine)iridium(I) Hexafluorophosphate,98%,952.00,952.00,现货, C823807-100mg,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>175 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
A801411 (15-环辛二烯)24-戊二酮铑(I) 99%,(15-环辛二烯)24-戊二酮铑(I) ,12245-39-5,C<sub>13</sub>H<sub>19</sub>O<sub>2</sub>Rh , (Acetylacetonato)(15-cyclooctadiene)rhodium(I),99% | 99%,658.00 | 1999.00,658.00 | 1999.00,预计交期：5~7个工作日 | 预计交期：5~7个工作日, A801411-250mg |  A801411-1g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>138-140 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>2~8°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">颜色:</th>                    <td>黄色 或 橙色 粉末 或 晶体</td>                </tr></table>
D807103 (15-环辛二烯)二氯化钯(II) Pd 37.3%,(15-环辛二烯)二氯化钯(II)  ;(顺顺-15-环辛二烯)二氯化钯 ,12107-56-1,C<sub>8</sub>H<sub>12</sub>Cl<sub>2</sub>Pd , Dichloro(15-cyclooctadiene)palladium(II),Pd 37.3% | Pd 37.3%,348.00 | 1418.00,348.00 | 1418.00,现货 | 预计交期：5~7个工作日, D807103-1g |  D807103-5g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>210 °C (dec.)(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温干燥</td>                </tr></table>
D823809 (15-环辛二烯)二氯化铂(II) Pt 51.6-52.6%, ,12080-32-9,C<sub>8</sub>H<sub>12</sub>Cl<sub>2</sub>Pt , Dichloro(15-cyclooctadiene)platinum(II),Pt 51.6-52.6% | Pt 51.6-52.6%,428.00 | 968.00,428.00 | 968.00,现货 | 现货, D823809-250mg |  D823809-1g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>285 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
C835755 (15-环辛二烯)二碘铂(II) 35% Pt basis, ,12266-72-7,C<sub>8</sub>H<sub>12</sub>I<sub>2</sub>Pt , (15-Cyclooctadiene)diiodoplatinum(II),35% Pt basis | 35% Pt basis,798.00 | 1988.00,798.00 | 1988.00,预计交期：15个工作日 | 预计交期：15个工作日, C835755-250mg |  C835755-1g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>260°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
C823012 (15-环辛二烯)氯铑(I)二聚体 98%,(15-环辛二烯)氯铑(I)二聚体 ;氯(15-环辛二烯)铑二聚二聚氯代(15-环辛二烯)铑(Ⅰ) ,12092-47-6,C<sub>16</sub>H<sub>24</sub>Cl<sub>2</sub>Rh<sub>2</sub> , Chloro(15-cyclooctadiene)rhodium(I) dimer,98% | 98%,328.00 | 608.00,328.00 | 608.00,现货 | 现货, C823012-250mg |  C823012-500mg,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">用途:</th>                    <td>13-二烯和激活的烃反应的催化剂及制备手性复合物同时用于耦合反应、不对称氢化反应和 硼氢化反应</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>216.3-219.2 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>2~8°C</td>                </tr></table>
R828525 (1R2R)-2-氨环己醇 97%, ,931-16-8,C<sub>6</sub>H<sub>13</sub>NO , (1R2R)-2-Aminocyclohexanol,97% | 97%,167.00 | 502.00,167.00 | 502.00,预计交期：8~10个工作日 | 现货, R828525-1g |  R828525-5g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>2~8℃</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">颜色:</th>                    <td>无色 液体</td>                </tr></table>
R828520 (1R2R)-双(4-甲氧基苯基)-12-乙二胺 98%, ,58520-03-9,C<sub>16</sub>H<sub>20</sub>N<sub>2</sub>O<sub>2</sub> , (1R2R)-Bis(4-methoxyphenyl)-12-ethanediamine,98% | 98% | 98%,370.00 | 1400.00 | 4950.00,370.00 | 1400.00 | 4950.00,预计交期：8~10个工作日 | 预计交期：8~10个工作日 | 预计交期：8~10个工作日, R828520-1g |  R828520-5g |  R828520-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>阴凉密闭</td>                </tr></table>
